paper_id,title,assignment_scope,module_code,module_kind,sort_order,active_confirmed_core
ASD-0001,"Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists",scientific_object_modules,04,formal_module,1,1
ASD-0002,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,scientific_object_modules,07,formal_module,1,1
ASD-0003,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,scientific_object_modules,03,formal_module,1,1
ASD-0003,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,scientific_object_modules,04,formal_module,2,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,scientific_object_modules,01,formal_module,1,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,scientific_object_modules,03,formal_module,2,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,scientific_object_modules,06,formal_module,3,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,scientific_object_modules,09,formal_module,4,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,scientific_object_modules,10,formal_module,5,1
ASD-0005,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,scientific_object_modules,03,formal_module,1,1
ASD-0005,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,scientific_object_modules,04,formal_module,2,1
ASD-0007,Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents,scientific_object_modules,04,formal_module,1,1
ASD-0008,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,scientific_object_modules,07,formal_module,1,1
ASD-0008,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,scientific_object_modules,03,formal_module,2,1
ASD-0009,Agent-based learning of materials datasets from the scientific literature,scientific_object_modules,04,formal_module,1,1
ASD-0010,El Agente: An Autonomous Agent for Quantum Chemistry,scientific_object_modules,03,formal_module,1,1
ASD-0011,Chemtoolagent: The impact of tools on language agents for chemistry problem solving,scientific_object_modules,03,formal_module,1,0
ASD-0012,Large language models for chemistry robotics,scientific_object_modules,03,formal_module,1,1
ASD-0013,The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,scientific_object_modules,01,formal_module,1,1
ASD-0014,Spatialagent: An autonomous ai agent for spatial biology,scientific_object_modules,06,formal_module,1,1
ASD-0015,Exploring modularity of agentic systems for drug discovery,scientific_object_modules,07,formal_module,1,0
ASD-0016,An autonomous laboratory for the accelerated synthesis of novel materials,scientific_object_modules,04,formal_module,1,1
ASD-0017,Can ai agents design and implement drug discovery pipelines?,scientific_object_modules,07,formal_module,1,1
ASD-0018,Agent laboratory: Using llm agents as research assistants,scientific_object_modules,01,formal_module,1,1
ASD-0019,Agentrxiv: Towards collaborative autonomous research,scientific_object_modules,01,formal_module,1,1
ASD-0020,Biodiscoveryagent: An ai agent for designing genetic perturbation experiments,scientific_object_modules,06,formal_module,1,1
ASD-0021,A review of large language models and autonomous agents in chemistry,scientific_object_modules,03,formal_module,1,0
ASD-0022,Chemgraph: An agentic framework for computational chemistry workflows,scientific_object_modules,03,formal_module,1,1
ASD-0023,"Bioplanner: Automatic evaluation of llms on protocol planning in biology, 2023",scientific_object_modules,06,formal_module,1,0
ASD-0024,Large language model agent for modular task execution in drug discovery,scientific_object_modules,07,formal_module,1,1
ASD-0024,Large language model agent for modular task execution in drug discovery,scientific_object_modules,03,formal_module,2,1
