paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0541	PromptBio: A Multi-Agent AI Platform for Bioinformatics Data Analysis	Notes/06_Life_Sciences/Zhang_2025_PromptBio_Bioinformatics.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated_source_limited	yes	yes	standard	bucket_0104_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	75
ASD-0572	Autonomous discovery of functional random heteropolymer blends through evolutionary formulation optimization	Notes/04_Materials_Science/Wu_2025_Random_Heteropolymer_Blends.md	04	04;06	multi_module	none	updated_source_limited	yes	no	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0553	ToolsGenie 2.0: A Scalable and Extensible Multi-Agent System for Bioinformatics Automation	Notes/01_Formal_Information_and_Computational_Sciences/Ma_2026_ToolsGenie_2_Bioinformatics_Automation.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	yes	yes	standard	bucket_0104_note_wording_check;source_limited_wording_confirmation	55
ASD-0005	A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand	Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md	03	03;04	multi_module	none	updated	yes	no	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0006	DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation	Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	core	bucket_0104_note_wording_check	50
ASD-0040	Researchagent: Iterative research idea generation over scientific literature with large language models, 2025	Notes/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	core	bucket_0104_note_wording_check	50
ASD-0004	InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification	Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md	01	01;03;06;09;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0053	Towards autonomous hypothesis verification via language models with minimal guidance	Notes/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0059	Iterative hypothesis generation for scientific discovery with monte carlo nash equilibrium self-refining trees, 2025	Notes/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0062	Empowering scientific workflows with federated agents	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	01	01;02;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0069	The ai scientist: Towards fully automated open-ended scientific discovery	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2024_AI_Scientist.md	01	01;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0111	SciMaster: Towards general-purpose scientific AI agents, Part I. X-Master as foundation: Can we lead on Humanity's Last Exam?	Notes/01_Formal_Information_and_Computational_Sciences/Chai_2025_SciMaster.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0145	CycleResearcher: Improving automated research via automated review	Notes/01_Formal_Information_and_Computational_Sciences/Weng_2025_CycleResearcher.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0523	Towards end-to-end automation of AI research	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2026_End_to_End_AI_Research.md	01	01;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0530	Autonomous Scientific Discovery Through Hierarchical AI Scientist Systems	Notes/01_Formal_Information_and_Computational_Sciences/Yue_2025_Hierarchical_AI_Scientist_Systems.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	01	03;05;06;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0671	AutoResearchClaw: Self-Reinforcing Autonomous Research with Human-AI Collaboration	Notes/01_Formal_Information_and_Computational_Sciences/Liu_2026_AutoResearchClaw.md	01	01;02;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0676	AutoSci: A Memory-Centric Agentic System for the Full Scientific Research Lifecycle	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoSci.md	01	01;06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0056	Delocalized, asynchronous, closed-loop discovery of organic laser emitters	Notes/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0091	Agentic mixture-of-workflows for multi-modal chemical search	Notes/03_Chemical_Sciences/Callahan_2025_CRAG_MoW.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0093	Augmenting large language models with chemistry tools	Notes/03_Chemical_Sciences/Bran_2024_ChemCrow.md	03	03;04;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0158	A robotic platform for flow synthesis of organic compounds informed by AI planning	Notes/03_Chemical_Sciences/Coley_2019_Flow_Synthesis_AI_Planning.md	03	03	single_module	none	updated_source_limited	yes	no	core	source_limited_note_refresh;source_limited_wording_confirmation	45
ASD-0519	A high-throughput experimentation platform for data-driven discovery in electrochemistry	Notes/03_Chemical_Sciences/Lin_2025_High_Throughput_Electrochemistry_Discovery.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0664	Autonomous computational catalysis through an agentic research system	Notes/03_Chemical_Sciences/Unknown_2026_Autonomous_Computational_Catalysis.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0787	SciToolAgent: a knowledge-graph-driven scientific agent for multitool integration	Notes/01_Formal_Information_and_Computational_Sciences/Ding_2025_SciToolAgent.md	03	03;04;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
