paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0775	Owl-AuraID 1.0: An Intelligent System for Autonomous Scientific Instrumentation and Scientific Data Analysis	Notes/09_Engineering_and_Industrial_Technology_Sciences/Deng_2026_Owl_AuraID_Instrumentation.md	https://arxiv.org/abs/2603.29828	Source trail: scientific instrumentation sibling expansion 2026-06-18; Owl-AuraID is a GUI-native embodied agent system that operates precision instruments and connects physical handling with scientific interpretation across end-to-end workflows, making it a strong non-structural class-09 core record. NoteLanded2026-06-20: keep `09.01`; the platform-like framing does not outweigh the concrete scientific-instrumentation object.
ASD-0652	ResearchTown: Simulator of Human Research Community	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Yu_2024_ResearchTown.md	https://arxiv.org/abs/2412.17767	Source trail: Shanghai AI Lab / Nature-family cross-validated metascience pressure-test expansion 2026-06-17; ResearchTown is a multi-agent framework for simulating research communities, explicitly modeling paper reading, paper writing, review writing, and interdisciplinary idea generation on an agent-data graph, so its object is scientific knowledge production itself. NoteLanded2026-06-19: formal ASD note added; keep `11.07` because the paper directly models research communities and scientific knowledge production itself.
ASD-0655	TreeReview: A Dynamic Tree of Questions Framework for Deep and Efficient LLM-based Scientific Peer Review	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Chang_2025_TreeReview.md	https://arxiv.org/abs/2506.07642	Source trail: Nature-family scholarly-workflow expansion 2026-06-17; TreeReview models scientific review as a recursively decomposed question tree with dynamic follow-up question generation and answer aggregation, making it a direct `11.07` peer-review Agent case. NoteLanded2026-06-19: formal ASD note added; keep `11.07` because the benchmark, method, and evaluation all center on scientific peer review itself.
ASD-0701	Automating Computational Reproducibility in Social Science: Comparing Prompt-Based and Agent-Based Approaches	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Shah_2026_Automating_Computational_Reproducibility.md	https://arxiv.org/abs/2602.08561	Source trail: social-science reproducibility branch expansion 2026-06-18. NoteLanded2026-06-19: formal note keeps `11.07`; the stable object is social-science computational reproducibility and post-publication verification rather than a domain-general research-agent workflow.
ASD-0766	ReviewGrounder: Improving Review Substantiveness with Rubric-Guided, Tool-Integrated Agents	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Unknown_2026_ReviewGrounder.md	https://arxiv.org/abs/2604.14261	Source trail: class-11 peer-review sibling expansion 2026-06-19; ReviewGrounder builds an explicit multi-agent reviewer pipeline with rubric grounding and evidence consolidation over scientific-review tasks. NoteLanded2026-06-18: formal ASD note added. Batch22Partial1Reaudit2026-06-22: arXiv abstract recheck refreshed author metadata and kept the object anchored in scientific peer review / `11.07` rather than `01.04`; no local archived PDF confirmed.
ASD-0768	When Reviews Disagree: Fine-Grained Contradiction Analysis in Scientific Peer Reviews	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Unknown_2026_When_Reviews_Disagree.md	https://arxiv.org/abs/2605.10171	Source trail: class-11 peer-review sibling expansion 2026-06-19; IMPACT is a structured multi-agent framework for contradiction evidence extraction and adjudication in scientific peer reviews, making scientific knowledge production itself the object. NoteLanded2026-06-18: formal ASD note added. Batch22Partial1Reaudit2026-06-22: arXiv abstract recheck refreshed author metadata and kept the object anchored in scientific peer review disagreement / `11.07` rather than `01.04`; no local archived PDF confirmed.
ASD-0035	Sciagents: automating scientific discovery through bioinspired multi-agent intelligent graph reasoning	Notes/04_Materials_Science/Ghafarollahi_2025_SciAgents.md	https://doi.org/10.1002/adma.202413523	Source trail: Shanghai AI Lab seed survey[ref 72]. RelaxedRound2P1D2026-06-21: scientific_object_modules=04; object_coverage_mode=single_module; primary_module_for_filing=04; general_method_bucket=none; first_hand_sources_checked=arXiv abstract `2409.05556` + canonical DOI landing for `10.1002/adma.202413523`; evidence=the paper is explicitly applied to biologically inspired materials and reports material discoveries, design principles, and material properties; collagen, amyloid, and related biological motifs function as biomaterial ingredients or inspiration inside materials hypotheses rather than independent life-science experiments, so additional `06` coverage is not accepted. Batch01Reaudit2026-06-21: local PDF archive confirmed.
ASD-0525	TeLLAgent: a dual-agent framework for reliable scientific discovery with tool-enhanced LLMs	Notes/01_Formal_Information_and_Computational_Sciences/Sun_2026_TeLLAgent.md	https://doi.org/10.1039/d5sc09883a	Source trail: 2026 chemistry-agent update layer. Batch2NoteRound2026-06-19: reclassified from `03.04` to `01.04` because the stable object is a dual-agent scientific-discovery framework whose chemistry/materials demos do not outweigh its domain-general workflow contribution. RelaxedMultiModule2026-06-20: under object-coverage rule, record `scientific_object_modules=03;04`, `primary_module_for_filing=04`, `general_method_bucket=none`; legacy filing fields left pending schema migration. Batch16Partial2Reaudit2026-06-23: RSC full abstract rechecked; no local PDF archived this round; landed `03;04` closeout with primary filing `04` supersedes the stale independent `01.04`-only authority.
ASD-0680	Agentic Fusion of Large Atomic and Language Models to Accelerate Superconductor Discovery	Notes/04_Materials_Science/Liu_2026_ElementsClaw_Superconductors.md	https://arxiv.org/abs/2604.23758	Source trail: Shanghai AI Lab superconducting-materials sibling expansion 2026-06-18; ElementsClaw fuses large atomic and language models for autonomous superconductor target selection and delivers experimentally synthesized validation on four new superconductors. NoteLanded2026-06-19: formal note keeps `04.04`; the stable object is superconductor materials discovery rather than general physical-law reasoning. Batch20Partial1Reaudit2026-06-22: arXiv abstract rechecked; canonical author metadata corrected from the current arXiv abstract page; note refreshed with no local archived PDF confirmed; keep `04.04` because screening plus experimental verification of novel superconductors supports materials discovery.
ASD-0681	Agentic LLM Reasoning in a Self-Driving Laboratory for Air-Sensitive Lithium Halide Spinel Conductors	Notes/04_Materials_Science/Fei_2026_Agentic_LLM_Reasoning_A_Lab.md	https://arxiv.org/abs/2604.11957	Source trail: Shanghai AI Lab self-driving-lab materials sibling expansion 2026-06-18; the agentic reasoning framework couples A-Lab GPSS with abductive and inductive reasoning to perform autonomous experiment design for air-sensitive ionic-conductor discovery. NoteLanded2026-06-19: formal note keeps `04.04`; strong real synthesis evidence lowers class risk and leaves mainly fuller-method-detail followup.
