paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0744	BioGAIP: A Scalable, User-Friendly and Robust LLM-Powered Multi-Agent System for Automated Bioinformatics Tasks	Notes/06_Life_Sciences/Zhang_2026_BioGAIP_Bioinformatics.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0745	BioLab: End-to-End Autonomous Life Sciences Research with Multi-Agents System Integrating Biological Foundation Models	Notes/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0770	Progressive Multi-Agent Reasoning for Biological Perturbation Prediction	Notes/06_Life_Sciences/Kim_2026_PBio_Agent_Perturbation_Biology.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0030	Rag-enhanced collaborative llm agents for drug discovery	Notes/07_Medical_and_Health_Sciences/Lee_2025_CLADD.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0113	PharmAgents: Building a virtual pharma with large language model agents	Notes/07_Medical_and_Health_Sciences/Gao_2025_PharmAgents.md	07	07;03	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0254	From intention to implementation: automating biomedical research via llms	Notes/01_Formal_Information_and_Computational_Sciences/Luo_2025_BioResearcher.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0531	GALILEO: Embodied AI scientist for autonomous therapeutic discovery in dynamic membrane systems	Notes/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0537	Medea: An omics AI agent for therapeutic discovery	Notes/07_Medical_and_Health_Sciences/Sui_2026_Medea_Therapeutic_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0543	Machine Learning Copilot Agent: An LLM-Guided Workflow for Prognostic Gene Discovery	Notes/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0545	IMMUNIA: A Multi-LLM Reasoning Agent for Immunoregulatory Surfaceome Discovery	Notes/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
