paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0737	yes	01	none	01	01_vs_01.04_with_cross_domain_hints	medium	no	ok	yes	yes	Concrete computational-research objects are present in full-text-backed evidence, so 01 is supportable now; do not expand to extra modules from cross-domain hints alone, but stale abstract-only/no-local-PDF pressure can be cleared.
ASD-0738	yes	01	none	01	01_vs_01.04	high	no	ok	yes	yes	Full-text-backed evidence clearly supports concrete AI model-discovery work, so 01 is stable and stale non-full-text wording can be truthfully cleared now.
ASD-0549	yes	02	none	02	02_vs_01.04	high	no	ok	yes	yes	Full-text-backed evidence shows concrete inflationary-cosmology model discovery, making 02 stable and suitable for landing with stale no-local-PDF wording removed.
ASD-0567	yes	02	none	02	02_concrete_measurement_task	high	no	ok	yes	yes	Equivalent-width measurement on stellar spectra is a direct astronomy measurement object with strong first-hand support, so 02 can land and stale source-depth pressure can be cleared.
ASD-0613	yes	02	none	02	02_vs_04_or_09	high	no	ok	yes	yes	Autonomous STEM experiments are evidenced as discovering nanoplasmonic physics phenomena, which supports 02 rather than materials or engineering filing and justifies clearing stale non-full-text wording.
ASD-0707	yes	02	none	02	framework_heavy_02_vs_01.04	medium	no	ok	yes	no	Evidence supports a 02 reading, but the paper remains framework-heavy with modest demonstrated scope, so keep it conservative rather than forcing an authority update this round.
ASD-0748	yes	02	none	02	02_vs_01.04	high	no	ok	yes	yes	Exoplanet-atmosphere retrieval and case-study evidence make 02 stable, and the stale no-local-PDF pressure can be cleared truthfully now.
ASD-0750	yes	02	none	02	02_vs_09_detector_engineering	medium_high	no	ok	yes	yes	Despite engineering flavor, the validated object is still particle-physics experiment design/simulation, so 02 is landable and stale abstract-level pressure can be removed.
ASD-0734	yes	03	none	03	03_vs_04_or_09	high	no	ok	yes	yes	Closed-loop reaction-space exploration with discovered reactivity is a clear chemical-sciences object, so 03 can land and stale non-full-text wording can be cleared.
ASD-0535	yes	04	none	04	04_vs_01.04_or_03	high	no	ok	yes	yes	Target-property-driven inorganic materials design is strongly evidenced, so 04 is stable and stale no-local-PDF wording can be cleared now.
ASD-0570	yes	04	none	04	platform_heavy_but_materials_object_clear	high	no	ok	no	no	Object-level materials-development evidence is clear and strong; the merged pack does not show a remaining authority problem that requires landing from this reviewer pass.
ASD-0571	yes	04	none	04	platform_heavy_but_materials_object_clear	high	no	ok	no	no	Materials phase-mapping evidence is concrete and stable under 04, with no remaining note/master pressure shown in the merged pack.
ASD-0614	yes	04	none	04	04_vs_09_or_01_04_but_object_clear	high	no	ok	no	no	The autonomous PXRD workflow still points to a materials-characterization object, and the merged pack does not show stale authority requiring update now.
ASD-0635	yes	05	none	05	platform_heavy_but_atmospheric_object_clear	high	no	ok	no	no	Atmospheric physical-mechanism discovery is clearly supported, and no immediate stale-authority pressure is shown in the merged evidence.
ASD-0651	yes	05;11	none	05	multi_module_05_11_boundary_but_stable	medium_high	no	ok	no	no	The evidence supports primary 05 with additional 11 coverage, but the multi-module expansion remains boundary-sensitive enough that I would not force a landing solely from this packet.
ASD-0725	yes	05	none	05	platform_heavy_but_atmospheric_environment_object_clear	high	no	ok	no	no	Pollution-mechanism and feedback-process validation clearly support 05, and the merged pack does not indicate unresolved authority wording pressure.
ASD-0728	yes	06	none	06	platform_heavy_but_single_cell_object_clear	high	no	ok	no	no	The validated object remains single-cell biology, so 06 is stable and no further landing signal is required from this reviewer pass.
ASD-0729	yes	06	none	06	platform_heavy_but_protein_object_clear	medium_high	no	ok	no	no	Protein discovery and directed evolution are concrete 06 objects here; the merged packet shows a stable class boundary without immediate authority-cleanup pressure.
ASD-0731	yes	03;06;07	none	06	multi_module_dataset_object_boundary	medium	no	ok	yes	no	Multi-module coverage is plausible from the evidence, but this is the most boundary-sensitive dataset-style expansion in the slice, so keep it conservative rather than forcing a landing now.
ASD-0526	yes	09	none	09	09_vs_01_04_but_object_clear	high	no	ok	no	no	Constitutive model discovery is a concrete engineering-mechanics object, and the merged pack does not show remaining authority drift that needs action now.
ASD-0747	yes	09	none	09	stable_09_vs_01.04	high	no	ok	yes	yes	Finite-element analysis is a stable 09 object and the merged evidence explicitly shows stale abstract-only/non-full-text authority pressure that can be cleared now.
ASD-0749	yes	09	none	09	stable_09_vs_04_vs_01.04	high	no	ok	yes	yes	Topology optimization is stably an engineering-design object under 09, and the stale abstract-based authority can be truthfully refreshed now.
ASD-0753	yes	09	none	09	stable_09_vs_01.04	high	no	ok	yes	yes	2D frame structural analysis is a stable 09 object, and the merged evidence shows clear stale no-local-PDF/abstract-based wording pressure suitable for landing now.
ASD-0754	yes	09	none	09	stable_09_vs_01.04	high	no	ok	yes	yes	Structural-engineering workflow automation is stably 09, and stale abstract-level authority wording can be cleared now.
ASD-0647	yes	10	none	10	stable_10_mission_science_ops_vs_asteroid_science_vs_01.04	high	no	ok	no	no	The merged evidence already treats this as full-paper-backed mission-science operations under 10, so no additional landing is needed from this reviewer pass.
ASD-0648	yes	10	none	10	stable_10_vs_05_vs_01.04_with_core_strength_risk	medium_high	no	ok	no	no	Class boundary is stable in 10 and the remaining issue is core-strength rather than classification or source-depth, so no landing action is required here.
ASD-0625	yes	11	none	11	stable_11_peer_review_vs_01.04	high	no	ok	yes	yes	Scientific peer-review generation/evaluation is stably 11, and the merged packet shows stale abstract-based authority that can be cleared now.
ASD-0626	yes	11	none	11	stable_11_peer_review_vs_01.04	high	no	ok	yes	yes	Investigative peer review with evidence-grounded critique is stably 11, and stale non-full-text authority wording can be updated now.
ASD-0629	yes	11	none	11	stable_11_claim_verification_vs_01.04	high	no	ok	no	no	Claim-to-citation grounding is stably 11 and the merged evidence already describes authority as strong enough, so no landing is needed here.
ASD-0636	yes	11	none	11	stable_11_peer_review_vs_01.04	medium_high	no	ok	no	no	Evidence-grounded scientific peer review is stably 11 and current authority is already strong enough in the merged packet, so no landing is required.
