paper_id	title	evidence_agent	note_path	current_authoritative_anchor	main_wording_risk	needs_note_revision	safe_for_note_only_landing	must_escalate_to_controller	short_reason	suggested_refresh_sections
ASD-0152	An agentic AI framework for ingestion and standardization of single-cell RNA-seq data analysis	Evidence-Agent-A	Notes/06_Life_Sciences/Nouri_2026_CellAtria_scRNAseq.md	06;07	stale_pending_status_metadata	yes	yes	no	top metadata and 9.3 still read to_read even though the stable 06;07 anchor is already written below	top harmonization override
ASD-0276	Automating exploratory multiomics research via language models	Evidence-Agent-A	Notes/06_Life_Sciences/Qu_2025_PROTEUS_Multiomics.md	06;07	stale_pending_status_metadata	yes	yes	no	note body already lands 06;07, but top metadata still says to_read / confirmed core	top harmonization override
ASD-0599	An AI-Native Biofoundry for Autonomous Enzyme Engineering: Integrating Active Learning with Automated Experimentation	Evidence-Agent-A	Notes/06_Life_Sciences/Zhang_2026_AINative_Biofoundry_Enzyme_Engineering.md	06	stale_pending_status_plus_source_limited_sync	yes	yes	no	stable 06 / source_limited=yes anchor is already clear, but the note still reads like a pending confirmed-core record	top harmonization override
ASD-0617	An industrial automated laboratory for programmable protein evolution	Evidence-Agent-A	Notes/06_Life_Sciences/Shen_2025_Industrial_Automated_Protein_Evolution.md	06	stale_pending_status_plus_source_limited_sync	yes	yes	no	stable 06 / source_limited=yes wording exists, but top metadata still stays at to_read / confirmed core	top harmonization override
ASD-0660	S1-NexusAgent: a Self-Evolving Agent Framework for Multidisciplinary Scientific Research	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/NexusAgentTeam_2026_S1_NexusAgent.md	03;04;06;07	note_aligned_low_risk	no	yes	no	current note already states the landed multi-module anchor and no stale to_read block remains	none
ASD-0724	Autonomous seeking and mapping coral reef biodiversity hotspots with a multimodal AUV	Evidence-Agent-A	Notes/06_Life_Sciences/Phillips_2026_Coral_Reef_Biodiversity_Hotspots_AUV.md	06	note_aligned_low_risk	no	yes	no	source_limited=yes and included status are already explicit without stale pending metadata	none
ASD-0731	Self-Driving Datasets: From 20 Million Papers to Nuanced Biomedical Knowledge at Scale	Evidence-Agent-A	Notes/06_Life_Sciences/Jones_2026_Self_Driving_Datasets.md	03;06;07	stale_pending_status_metadata	yes	yes	no	the note already explains the 03;06;07 anchor, but top metadata and 9.3 still say to_read	top harmonization override
ASD-0741	Spatial transcriptomics AI agent charts hPSC-pancreas maturation in vivo	Evidence-Agent-A	Notes/06_Life_Sciences/Lin_2025_Spatial_Transcriptomics_Pancreas_Maturation.md	06	stale_pending_status_plus_source_limited_sync	yes	yes	no	stable 06 / source_limited=yes reading is already present, but top metadata and 9.3 still say to_read	top harmonization override
ASD-0742	Talk2Biomodels: AI agent-based open-source LLM initiative for kinetic biological models	Evidence-Agent-A	Notes/06_Life_Sciences/Wehling_2025_Talk2Biomodels.md	06;07	stale_pending_status_metadata	yes	yes	no	06;07 wording is already stable, but top metadata and 9.3 still carry to_read language	top harmonization override
ASD-0743	STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis	Evidence-Agent-A	Notes/06_Life_Sciences/Chen_2026_STAT_Spatial_Transcriptomics.md	06;07	stale_pdf_backed_source_state_conflict	yes	yes	no	Phase6FollowupR20 froze a local-PDF-backed 06;07 anchor, but older source_limited=yes and no-PDF wording still survives below	top harmonization override
