paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0005	included	03;04	none	03	03_04_multi_module_source_limited	medium_high	yes	access_limited	no	yes	Concrete photocatalytic-reaction and functional-material tasks support 03;04 despite limited full-text access.
ASD-0158	included	03	none	03	03_vs_09_platform_boundary	high	yes	access_limited	uncertain	no	Object is organic-compound flow synthesis itself, not a generic engineering platform.
ASD-0097	included	06;07	none	06	06_core_plus_07_adjunct	medium	yes	access_limited	no	yes	Single-cell biology is clear 06 coverage; explicit human biomedical case studies support a conservative 07 adjunct.
ASD-0112	included	03;07	none	03	03_core_plus_07_adjunct	medium	yes	access_limited	no	yes	Drug-molecule chemical-space exploration is clear 03 coverage; COVID-related validation supports only a cautious 07 adjunct.
ASD-0381	included	03	none	03	03_vs_04_catalysis_materials_boundary	high	yes	access_limited	uncertain	no	Catalytic reaction and ligand optimization are chemistry-object evidence, so keep 03.
ASD-0603	included	03	none	03	stable_03_source_limited_classic_sdl	high	yes	access_limited	uncertain	no	Validated reaction classes keep this in 03 rather than 01.04.
ASD-0547	included_tentative	04	none	04	04_vs_09_with_safety_skip	low	yes	safety_skip	no	no	Metasurface design points to 04, but evidence is shallow and access was explicitly safety-limited.
ASD-0569	included	04	none	04	04_vs_03_nanocrystal_boundary	high	yes	access_limited	no	no	The directly optimized object is nanocrystal material composition/performance.
ASD-0735	included	04	none	04	04_vs_03_quantum_dot_boundary	high	yes	access_limited	no	no	The optimized object is quantum-dot material properties, so 04 is the stable landing.
ASD-0727	included	05	none	05	05_vs_01.04_framework_boundary	high	no	open_abstract	no	no	Benchmarked geospatial reasoning tasks are concrete Earth-analysis objects, not a concrete-object-free general method.
ASD-0859	included	05	none	05	05_vs_10_earth_science_vs_space_mission	high	yes	access_limited	no	no	The scientific object is Earth volcanism monitoring rather than spacecraft operations.
ASD-0860	included	05	none	05	05_vs_10_earth_science_vs_space_mission	high	yes	access_limited	no	no	The scientific object is cryospheric change on Earth rather than spacecraft operations.
ASD-0861	included	05	none	05	05_vs_10_earth_science_vs_space_mission	high	yes	access_limited	no	no	The scientific object is flood monitoring on Earth rather than spacecraft operations.
ASD-0617	included	06	none	06	06_only_not_01_04	high	yes	access_limited	no	no	Programmable protein evolution is direct life-science object coverage.
ASD-0724	included	06	none	06	06_vs_05_biodiversity_vs_environment	medium	yes	access_limited	no	no	Coral-reef biodiversity hotspot mapping lands in 06; keep any 05 expansion conservative.
ASD-0536	included	07	none	07	07_vs_01_04_domain_specific_medical_discovery	high	no	open_abstract	no	no	Herbal-medicine and network-pharmacology discovery are concrete medical object coverage.
ASD-0544	included	07	none	07	07_vs_01_04_domain_specific_medical_discovery	medium	yes	waf_block	no	no	Cancer biomarker discovery is a concrete 07 object despite access challenge.
ASD-0858	included	10	none	10	10_vs_02_or_05_mission_operations_vs_planetary_object_science	high	yes	cloudflare_block	no	no	Rover mission operations and ChemCam target selection support 10.
ASD-0855	included	11	none	11	11_07_vs_01_04_science_of_science	high	no	open_abstract	no	no	Scientific peer review and evaluation are science-of-science objects, so this lands in 11.
ASD-0508	included	03	none	03	03_vs_04_molecules_vs_materials	high	no	open_metadata	no	no	Dye-like molecular discovery is direct 03 object coverage.
ASD-0565	included	04	none	04	stable_04	medium	yes	access_limited	uncertain	no	High-entropy alloy discovery is direct 04 coverage, but evidence is only abstract-level.
ASD-0572	included	04;06	none	04	04_vs_06	medium_high	yes	access_limited	no	yes	Polymer-blend discovery supports 04 and protein-stabilization validation supports a conservative added 06.
ASD-0631	included	04	none	04	stable_04	medium	yes	access_limited	uncertain	no	Polymer-electrolyte formulation discovery supports 04, but autonomy/evidence detail remains limited.
ASD-0006	included	none	01.04	01	01.04_vs_06_07	medium	no	local_pdf	no	no	No verified DORA-run concrete object experiments are shown in the archived PDF, so keep 01.04 only.
ASD-0089	included	01	none	01	01.04_vs_01	high	no	local_pdf	no	yes	Concrete ML codification/evaluation tasks provide formal-computational object coverage, so it should not remain 01.04-only.
ASD-0090	included	02	none	02	stable_02	high	no	local_pdf	no	no	Superconducting-processor and entangled-state experiments directly support 02.
ASD-0687	included	02	none	02	02_vs_09	medium_high	no	local_pdf	no	no	The validated task is multi-stage physics experimentation rather than generic infrastructure.
ASD-0091	included	03;04	none	03	03_vs_04	high	no	local_pdf	no	yes	Small-molecule/reaction tasks plus polymer/material benchmarks support 03;04.
ASD-0093	included	03;04;07	none	03	03_vs_04_07	high	no	local_pdf	no	yes	Organic synthesis, materials-design, and drug-discovery tasks all have concrete object-level support.
ASD-0506	included	03	none	03	03_vs_04	medium_high	no	local_pdf	uncertain	no	Donor-acceptor molecular photostability is chemistry-object coverage rather than a materials-primary case.
