paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0743	yes	06;07	none	06	06-07_multi_module_life_medical_overlap	high	no	none	yes	yes	Local archived PDF plus concrete tumor/pathology spatial-omics cases support stable 06;07 rather than a generic platform-only reading.
ASD-0744	yes	06;07	none	06	platform_heavy_06_07_expansion_risk	medium_high	no	none	yes	yes	Full first-hand evidence supports a biology-primary 06 landing with independent disease-data coverage strong enough to keep 07 as well.
ASD-0745	yes	06;07	none	06	06-07_multi_module_with_therapeutic_validation	high	no	none	yes	yes	Concrete DNA/RNA/protein/cell tasks plus therapeutic-antibody validation support stable 06;07 from first-hand preprint evidence.
ASD-0770	yes	06;07	none	06	06-07_perturbation_biology_drug_response_overlap	medium_high	no	none	yes	yes	The paper is not just generic reasoning infrastructure; disease-linked perturbation and pharmacology cases support 06;07.
ASD-0531	yes	06;07	none	07	07_primary_therapeutic_discovery_with_06_assay_biology	high	no	none	yes	yes	Embodied therapeutic-discovery evidence is primary, while membrane-system and immune-cell assay biology support secondary 06 coverage.
ASD-0543	yes	06;07	none	07	07_primary_translational_clinical_with_06_omics_overlap	medium_high	no	none	yes	yes	Prognostic-gene and multi-cohort biomedical tasks support 07 primary with independent 06 omics-object coverage.
ASD-0545	yes	06;07	none	07	07_primary_biomarker_discovery_with_06_surfaceome_biology	high	no	none	yes	yes	Precision-immunotherapy biomarker discovery is the primary object, with explicit surfaceome-gene and tumor-immune biology supporting 06.
ASD-0554	yes	06;07	none	07	platform_heavy_but_concrete_biomedical_objects_not_01_04	high	no	none	yes	yes	Concrete melanoma, pan-cancer, and PBMC benchmark objects reject a stale independent 01.04 framing and support 06;07.
ASD-0556	yes	07	none	07	07_vs_03_medicinal_chemistry_boundary	medium_high	no	none	yes	yes	Despite benchmark-heavy framing, the first-hand cases remain drug-discovery and efficacy-prediction objects anchored in 07.
ASD-0052	yes	09	none	09	09_engineering_object_title_drift_identity_risk	high	no	none	yes	yes	The direct scientific object is autonomous finite-element engineering analysis, not a domain-general research-agent workflow.
ASD-0775	yes	09	none	09	instrumentation_vs_general_method	high	no	none	yes	yes	Concrete scientific instrumentation and characterization workflows keep this stably in 09.
ASD-0652	yes	11	none	11	metascience_object_vs_general_method	high	no	none	yes	yes	The object is research-community and scientific knowledge production itself, so 11.07 remains stable.
ASD-0655	yes	11	none	11	peer_review_object_vs_general_method	high	no	none	yes	yes	Method, benchmark, and evaluation all center on scientific peer review itself, supporting stable 11.07.
ASD-0701	yes	11	none	11	reproducibility_object_vs_general_method	high	no	none	yes	yes	The stable object is social-science computational reproducibility and post-publication verification, not generic coding-agent capability.
ASD-0766	yes	11	none	11	peer_review_object_vs_general_method	high	no	none	yes	yes	Rubric-grounded review drafting and grounding keep the paper stably anchored in scientific peer review.
ASD-0768	yes	11	none	11	peer_review_object_vs_general_method	medium_high	yes	source_limited_abstract_only_no_local_pdf_confirmed	yes	no	Peer-review disagreement analysis remains the object, but this pass only confirmed abstract-level evidence and no trusted local full text.
ASD-0035	yes	04	none	04	materials_vs_life_science_inspiration	high	no	none	yes	yes	Biological motifs act as inspiration within a materials-discovery object rather than as independent life-science experiments.
ASD-0525	yes	03;04	none	04	multi_module_chemistry_materials_vs_general_method	high	no	none	yes	yes	Organic-solar-cell molecular design plus synthesis and device validation support concrete 03;04 rather than any general-method bucket.
ASD-0680	yes	04	none	04	materials_vs_physics_theory	high	no	none	yes	yes	Superconductor screening plus experimental synthesis and verification keep the object firmly in materials discovery.
ASD-0681	yes	04	none	04	self_driving_lab_materials_vs_infrastructure	medium_high	yes	source_limited_abstract_only_no_local_pdf_confirmed	yes	no	The validated object is ionic-conductor materials discovery, but this pass remained abstract-level and source-limited.
ASD-0683	yes	04	none	04	04_vs_01_04	high	no	none	yes	yes	Perovskite-specific tools plus real synthesis validation make this a concrete 04 materials-discovery record.
ASD-0649	yes	05	none	05	05_vs_01_04	high	no	none	yes	yes	CMIP and ESGF climate-science workflows keep the object stably in 05 rather than a generic agentic framework bucket.
ASD-0650	yes	05;08;11	none	05	05_vs_01_04_with_08_11	high	no	none	yes	yes	Earth-observation workflows are primary, with explicit agriculture and human-system task coverage supporting 08 and 11 as additional modules.
ASD-0034	yes	06	none	06	06_vs_07	high	no	none	yes	yes	The concrete object is iterative Perturb-seq experiment design and functional-genomics inference, not therapeutic development.
ASD-0678	yes	07	none	07	07_vs_06	high	no	none	yes	yes	Target-specific therapeutic biologics design plus lab-confirmed binders keep this stably in 07.
ASD-0716	yes	07	none	07	07_vs_06_or_01_04	medium_high	no	none	yes	yes	CAR-T development, toxicity prediction, and translational planning keep the stable object in 07 despite platform-heavy framing.
ASD-0510	yes	06;08	none	08	06_08_multi_module	high	no	none	yes	yes	Plant phenotyping across Arabidopsis and crop cases supports both plant-biology 06 and agriculture 08 coverage.
ASD-0645	yes	10	none	10	10_vs_05_or_01_04	high	no	none	yes	yes	The stable object is onboard mission-science autonomy for EO-1 rather than Earth-process analysis or a general platform.
ASD-0524	yes	01	none	01	01_vs_01_04	high	no	none	yes	yes	Concrete SciML discovery tasks keep this in 01 rather than a separate 01.04 general-method bucket.
ASD-0736	yes	01	none	01	01_vs_01_04_or_11_07	medium_high	no	none	yes	yes	Scientist-Bench and AI-research-domain experiments support a concrete formal-computational 01 landing rather than independent 01.04 treatment.
