paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0747	VFEAgent: A Multimodal Agent Framework for End-to-End Automated Finite Element Analysis	Notes/09_Engineering_and_Industrial_Technology_Sciences/Zhang_2026_VFEAgent_Finite_Element_Analysis.md	https://arxiv.org/abs/2605.28978	End object is concrete finite-element analysis rather than 01.04.
ASD-0749	Self-Refining Topology Optimization via an LLM-Based Multi-Agent Framework	Notes/09_Engineering_and_Industrial_Technology_Sciences/Park_2026_TopOptAgents.md	https://arxiv.org/abs/2605.23273	Topology optimization targets engineering design layouts rather than materials discovery.
ASD-0753	A Lightweight Large Language Model-Based Multi-Agent System for 2D Frame Structural Analysis	Notes/09_Engineering_and_Industrial_Technology_Sciences/Geng_2025_MultiAgent_2D_Frame_Analysis.md	https://arxiv.org/abs/2510.05414	Workflow is tightly bound to 2D frame structural analysis in module 09.
ASD-0754	Automating Structural Engineering Workflows with Large Language Model Agents	Notes/09_Engineering_and_Industrial_Technology_Sciences/Liang_2025_MASSE_Structural_Engineering.md	https://arxiv.org/abs/2510.11004	Explicit multi-agent structural-engineering system remains stable in module 09.
ASD-0647	Autonomous Small Body Science Operations Using Reinforcement Learning	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Herrmann_2022_Autonomous_Small_Body_Science_Operations.md	https://doi.org/10.2514/1.I011376	Direct object is small-body mission-science operations, not asteroid science itself.
ASD-0648	Reinforcement Learning For Earth-Observing Satellite Autonomy With Event-Based Task Intervals	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Stephenson_2024_Earth_Observing_Satellite_Autonomy.md	https://hanspeterschaub.info/Papers/Stephenson2024a.pdf	Remaining concern is core-strength risk greater than class risk; 10 remains stable.
ASD-0625	ReviewAgents: Bridging the Gap Between Human and AI-Generated Paper Reviews	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Gao_2025_ReviewAgents.md	https://arxiv.org/abs/2503.08506	Independent reviewer kept the record stably in 11.07 rather than relaxing it into 01.04.
ASD-0626	From Passive Generation to Investigation: A Proactive Scientific Peer Review Agent	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Fang_2026_ProReviewer.md	https://arxiv.org/abs/2606.13349	Independent reviewer reconfirmed stable 11.07 placement.
ASD-0629	CiteME: Can Language Models Accurately Cite Scientific Claims?	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Press_2024_CiteME.md	https://openreview.net/forum?id=S9Qrrxpy6z	Independent reviewer reconfirmed this is a scientific-claim attribution / verification object in 11.07.
ASD-0636	EGTR-Review: Efficient Evidence-Grounded Scientific Peer Review	Notes/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Unknown_2026_EGTR_Review.md	https://arxiv.org/abs/2606.06025	Multi-agent peer-review-generation paper remains a class-11.07 core record.
