paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0857	Machine Collective Intelligence for Explainable Scientific Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Na_2026_Machine_Collective_Intelligence.md	02	02;03;04;06;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0869	STRIDE: A Self-Reflective Agent Framework for Reliable Automatic Equation Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Su_2026_STRIDE_Equation_Discovery.md	02	02;03;04;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0870	SR-Scientist: Scientific Equation Discovery With Agentic AI	Notes/01_Formal_Information_and_Computational_Sciences/Xia_2025_SR_Scientist.md	02	02;03;04;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0871	The Denario project: Deep knowledge AI agents for scientific discovery	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_Denario.md	02	02;03;04;06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0003	CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning	Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	Notes/07_Medical_and_Health_Sciences/Che_2025_CSSTep.md	03	03	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0117	OSDA agent: Leveraging large language models for de novo design of organic structure directing agents	Notes/03_Chemical_Sciences/Hu_2025_OSDA_Agent.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	Notes/03_Chemical_Sciences/Bedard_2018_Reconfigurable_Reaction_Optimization.md	03	03	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0740	Discovery of tunable and soluble organic emitters for solid-state lasers with a self-driving laboratory	Notes/03_Chemical_Sciences/Park_2026_Organic_Emitters_SelfDriving_Lab.md	03	03;04	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0818	MolMem: Memory-Augmented Agentic Reinforcement Learning for Sample-Efficient Molecular Optimization	Notes/03_Chemical_Sciences/Wang_2026_MolMem.md	03	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
