paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0005	A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand	Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md	https://doi.org/10.1021/jacs.4c17738	Source trail: Shanghai AI Lab seed survey[ref 237]; Batch00Reaudit2026-06-21: publisher landing page and official ACS supporting-information page checked; current evidence supports `scientific_object_modules=03;04`, `object_coverage_mode=multi_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; functional-material discovery/optimization supports `04`, photocatalytic organic reactions support `03`; main PDF endpoint remained access-gated in this environment, so keep `source_limited` / full-text follow-up open.
ASD-0158	A robotic platform for flow synthesis of organic compounds informed by AI planning	Notes/03_Chemical_Sciences/Coley_2019_Flow_Synthesis_AI_Planning.md	https://doi.org/10.1126/science.aax1566	HighImpactTrail: Science search; ExpansionBatch2026-06-16; older foundational high-impact case. CarryForward16Closeout2026-06-22: rechecked Crossref / Science publisher abstract; kept stable `scientific_object_modules=03`, `object_coverage_mode=single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; no local PDF was archived because the Science PDF endpoint returned `403`, so this row remains explicitly source-limited but classification-stable.
ASD-0097	Cellvoyager: Ai compbio agent generates new insights by autonomously analyzing biological data	Notes/06_Life_Sciences/Alber_2026_CellVoyager.md	https://doi.org/10.1038/s41592-026-03029-6	Source trail: Shanghai AI Lab seed survey[ref 5]; metadata upgraded 2026-06-17: confirmed journal upgrade from bioRxiv to Nature Methods 23(4):749-759; preprint lineage DOI https://doi.org/10.1101/2025.06.03.657517. CarryForward06Closeout2026-06-22: checked Nature Methods DOI landing / preview and data-availability evidence, official GitHub README, official demo landing, and the bioRxiv DOI / PDF route, which remained `403` in the current environment. Phase6FollowupR5Harmonization2026-07-02: authoritative state is now `scientific_object_modules=06`, `object_coverage_mode=single_module`, `primary_module_for_filing=06`, `general_method_bucket=none`; the current accessible first-hand evidence keeps `06` as the stable single-cell / computational-biology core, while old `07` human-biomedical case-study wording is retained only as a future source-limited lead pending stronger full-text evidence; no local PDF archived.
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	Notes/07_Medical_and_Health_Sciences/Che_2025_CSSTep.md	https://doi.org/10.1016/j.ces.2025.122048	Source trail: Shanghai AI Lab seed survey[ref 34]; ExpansionBatch2026-06-16; classification may move to 07 if therapeutic validation dominates. NoteLanded2026-06-18: formal ASD note added. CarryForward06Closeout2026-06-22: checked the official DOI landing, Elsevier Linkinghub / ScienceDirect record, official Elsevier XML coredata, and the HKUST publication-portal abstract page. Phase6FollowupR5Harmonization2026-07-02: authoritative state is now `scientific_object_modules=03`, `object_coverage_mode=single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; the current accessible first-hand evidence directly stabilizes drug molecules and chemical-space optimization as the landed core, while old `07` COVID-related target-linked drug-design wording is retained only as a future source-limited lead pending stronger full-text evidence; no local PDF archived.
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	Notes/03_Chemical_Sciences/Bedard_2018_Reconfigurable_Reaction_Optimization.md	https://doi.org/10.1126/science.aat0650	Source trail: Science chemistry-automation anchor 2026-06-17; Science article presents a reconfigurable automated system for optimizing diverse chemical reactions through iterative experimental control. NoteLanded2026-06-19: keep `03.03`; despite broad platform language, the stable scientific object remains concrete reaction optimization across multiple chemistry families. Batch23Partial1Reaudit2026-06-23: source-limited Science metadata/abstract evidence rechecked; note synced and landed `scientific_object_modules=03`, `object_coverage_mode=single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; keep the chemistry-object reading.
ASD-0547	Closed-loop experimental AI for pixelated metasurface design	Notes/04_Materials_Science/Lee_2026_Closed_Loop_Pixelated_Metasurface_Design.md	https://doi.org/10.1117/12.3091089	Source trail: Crossref thematic expansion 2026-06-17; title explicitly indicates closed-loop experimental AI for metasurface design. Round2Note2026-06-19: weak-evidence note added; keep `04.04` for now because the visible object is pixelated metasurface design, but this remains a mandatory `04 / 09` and evidence-strength follow-up sample. RelaxedRound2P1N2026-06-21: scientific_object_modules=04; object_coverage_mode=single_module; primary_module_for_filing=04; general_method_bucket=none; first_hand_sources_checked=Crossref DOI record `10.1117/12.3091089` + DOI resolver / official SPIE landing; evidence=the stable object is pixelated metasurface / engineered nanostructure design, and the currently accessible first-hand metadata does not show an independent engineering-system or process object strong enough to add `09`. Batch16Partial8Reaudit2026-06-23: DOI/title-level metadata and the prior SPIE landing boundary were rechecked; no local PDF was found and the downstream SPIE page remained not safely accessible in this environment, so this closeout keeps `scientific_object_modules=04` only and does not add `09`.
ASD-0569	Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors	Notes/04_Materials_Science/Bateni_2022_Autonomous_Nanocrystal_Doping.md	https://doi.org/10.1002/aisy.202200017	Source trail: Nature/SDL citation expansion 2026-06-17; title explicitly indicates a self-driving fluidic platform for nanocrystal doping under a concrete materials object. NoteLanded2026-06-19: keep `04.03`; official abstract supports a concrete nanocrystal-doping materials object despite the multistage chemistry framing. Batch23Partial1Reaudit2026-06-23: source-limited page-level evidence rechecked; note synced and landed `scientific_object_modules=04`, `object_coverage_mode=single_module`, `primary_module_for_filing=04`, `general_method_bucket=none`; keep the materials-object reading.
ASD-0572	Autonomous discovery of functional random heteropolymer blends through evolutionary formulation optimization	Notes/04_Materials_Science/Wu_2025_Random_Heteropolymer_Blends.md	https://doi.org/10.1016/j.matt.2025.102336	Source trail: high-impact / citation expansion 2026-06-17; metadata upgraded 2026-06-17 from DOI landing, PubMed abstract, and related first-hand metadata pages. Round2Note2026-06-19: canonical title / DOI / authors normalized from Crossref. Batch24Partial1Reaudit2026-06-23: PubMed abstract, ScienceDirect highlights/progress summary, and ChemRxiv stable preprint page rechecked; note synced and landed `scientific_object_modules=04;06`, `object_coverage_mode=multi_module`, `primary_module_for_filing=04`, `general_method_bucket=none`; polymer-blend formulation and materials-performance optimization remain the primary object, while protein-stabilization validation adds independent life-science coverage. Phase6FollowupR5Harmonization2026-07-02: keep `scientific_object_modules=04;06`, but harmonize to `source_limited=yes` / `access_limited` because no local full-text PDF was verified in the current environment.
ASD-0727	GeoAgentic-RAG: A Multi-Agent framework for autonomous geospatial reasoning and visual insight generation with LLM	Notes/05_Earth_and_Environmental_Sciences/Liang_2026_GeoAgentic_RAG.md	https://doi.org/10.1016/j.jag.2026.105195	Source trail: OpenEarth-Agent / Earth-Agent geospatial sibling expansion 2026-06-19; NoteLanded2026-06-20: formal ASD note added from DOI / abstract evidence. MetadataCorrection2026-06-20: authors corrected from incomplete metadata. Class kept at `05.04`; the main risk remains limited `05 / 01.04` framing pressure rather than a real top-level mismatch. Batch25Partial1Reaudit2026-06-23: closed; official abstract evidence keeps this in module 05; note/master closed as source_limited rather than 01.04.
ASD-0859	Monitoring active volcanism with the Autonomous Sciencecraft Experiment on EO-1	Notes/05_Earth_and_Environmental_Sciences/Davies_2006_EO1_Volcanism_Monitoring.md	https://doi.org/10.1016/j.rse.2005.08.007	Source trail: EO-1 ASE application-paper cluster from Nature/Science mission-science lineage 2026-06-18; the ASE pipeline detects volcanic activity onboard, replans observations, and acquires responsive Earth-observation science data, so the scientific object is volcanic Earth-system monitoring and it fits class `05` rather than `10`. NoteLanded2026-06-20: formal ASD note added; batch13 review keeps `05 / 05.04` because the final scientific object is active-volcanism monitoring rather than spacecraft autonomy as an end in itself. Batch29Partial1Reaudit2026-06-24: closed; first-hand ScienceDirect article page only; no legal PDF directly accessible supports scientific_object_modules=05; primary_module_for_filing=05; general_method_bucket=none; source_limited=yes.
