paper_id	note_path	final_modules_or_bucket	object_coverage_mode	primary_module_for_filing	general_method_bucket	source_limited	writeback_sections	landing_reason
ASD-0673	Notes/01_Formal_Information_and_Computational_Sciences/Deng_2026_AtomisticSkills.md	03;04;07	multi_module	04	none	no	文献信息;Evidence Log;2 科学领域归类;9.3 标注字段汇总	body still says no local archived PDF and understates the current archived-full-text footing
ASD-0790	Notes/04_Materials_Science/Rothfarb_2026_Heterogeneous_Catalyst_Discovery.md	03;04	multi_module	04	none	no	文献信息;Evidence Log;5 对综述写作的价值;9.3 标注字段汇总	note still says no project-local archived PDF despite current archived-full-text authority
ASD-0792	Notes/04_Materials_Science/Song_2026_CatDT_Heterogeneous_Catalyst_Discovery.md	03;04	multi_module	04	none	no	文献信息;Evidence Log;2.3 容易混淆的边界;5 对综述写作的价值;9.3 标注字段汇总	note still uses pre-archive PDF/source wording while the 03;04 authority is stable
ASD-0650	Notes/05_Earth_and_Environmental_Sciences/Zhao_2026_OpenEarth_Agent.md	05;08;11	multi_module	05	none	no	Reaudit Update;文献信息;Evidence Log;2 科学领域归类;9.3 标注字段汇总	note still uses stale non-archived wording and legacy submodule labeling despite current archived PDF and formal module 11
ASD-0064	Notes/06_Life_Sciences/Niyakan_2025_PhenoGraph.md	06;07	multi_module	06	none	no	archive sync block;文献信息;Evidence Log	metadata/body still imply PDF was not saved to project, which now conflicts with archived-PDF authority
ASD-0085	Notes/06_Life_Sciences/Ghafarollahi_2024_ProtAgents.md	04;06	multi_module	06	none	no	文献信息;2 科学领域归类;8 对综述写作的价值;9.3 标注字段汇总	override block lands 04;06, but legacy body still argues pure 06 with 04 only as future pressure
ASD-0137	Notes/06_Life_Sciences/Wang_2025_PrimeGen_Primer_Design.md	06;07	multi_module	06	none	no	2026-06-22 block;Evidence Log;7 局限性与风险;9.3 标注字段汇总	older PDF-unavailable/HTML-only block remains live even though July 5 archived-PDF authority has superseded it
ASD-0663	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoScientists.md	01;06;07	multi_module	06	none	no	文献信息;Evidence Log;2 科学领域归类;9.3 标注字段汇总	classification is aligned, but the note still says no local archived PDF and can tighten historical 01-side filing wording
ASD-0669	Notes/06_Life_Sciences/Kim_2026_MARBLE.md	06;07	multi_module	06	none	no	paper info;Evidence Log;section 2 summary;section 9 field block	evidence-source/PDF wording still reads like an abstract/reviewer-pack stage rather than archived full text
ASD-0714	Notes/06_Life_Sciences/Li_2025_K_Dense_Analyst.md	06;07	multi_module	06	none	no	paper info;Evidence Log;section 2;section 9 field block	metadata still says local PDF not confirmed even though classification is already landed on current repository authority
ASD-0008	Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md	07;03	multi_module	07	none	no	section 2;abstract summary;contribution/boundary wording;section 9 field block	top relaxed block is right, but body still reads as single-07/drug-discovery-only in places and under-absorbs chemistry coverage
ASD-0054	Notes/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.md	07;06	multi_module	07	none	no	paper info;Evidence Log header;source-status lines;section 9 field block	multi-module landing is correct, but PDF/evidence-state text is behind current repository authority
ASD-0540	Notes/07_Medical_and_Health_Sciences/Ghareeb_2025_Robin.md	06;07	multi_module	07	none	no	paper info;section 2.3 boundary note;section 9 field block	authoritative row is already landed as 06;07, but residual text still says master-list/01.04 review is pending
ASD-0564	Notes/07_Medical_and_Health_Sciences/Trost_2026_SPARK_Cancer_Pathology.md	07;06	multi_module	07	none	no	Evidence Log;section 2.1;boundary note;source-status lines;section 9 field block	old abstract-only and 07.01-only layers still coexist with newer 07;06 full-text adjudication
ASD-0510	Notes/08_Agricultural_Food_Forestry_Animal_and_Fishery_Sciences/Chen_2026_PhenoAssistant.md	06;08	multi_module	08	none	no	paper info;Evidence Log;evidence-strength line;section 9 field block	note still reads article-page-only/no-local-PDF/high-metadata-only despite current archived-PDF authority
ASD-0693	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md	05;10	multi_module	10	none	no	科学领域归类;边界判断;总结;标注字段汇总	mid-note classification prose still leans too heavily on 10.02-only framing and under-signals the parallel 05 authority
ASD-0844	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Science_Earth.md	01;06	multi_module	01	none	no	Evidence Log status lines;边界判断;总结;标注字段汇总	substance is aligned, but live note still says the old note needs revision
ASD-0845	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_SciDER.md	01;02;11	multi_module	01	none	no	Batch/writeback status block;边界判断;局限性说明中的历史措辞;标注字段汇总	current classification is landed, but the note still carries live-status prose saying revision is pending
ASD-0850	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_OR_Agent.md	01;10	multi_module	01	none	no	Batch/writeback status block;边界判断;风险段中的历史修订措辞;标注字段汇总	main content matches current authority, but the note still frames revision as pending instead of already absorbed
