paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0669	MARBLE: Multi-Agent Reasoning for Bioinformatics Learning and Evolution	Notes/06_Life_Sciences/Kim_2026_MARBLE.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0714	K-Dense Analyst: Towards Fully Automated Scientific Analysis	Notes/06_Life_Sciences/Li_2025_K_Dense_Analyst.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0008	Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle	Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md	07	07;03	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0024	Large language model agent for modular task execution in drug discovery	Notes/07_Medical_and_Health_Sciences/Ock_2025_AgentD.md	07	07;03	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0054	The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation	Notes/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.md	07	07;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0115	Towards an AI co-scientist	Notes/07_Medical_and_Health_Sciences/Gottweis_2025_Co_Scientist.md	07	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0118	Biomni: A general-purpose biomedical AI agent	Notes/07_Medical_and_Health_Sciences/Huang_2025_Biomni.md	07	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0540	A multi-agent system for automating scientific discovery	Notes/07_Medical_and_Health_Sciences/Ghareeb_2025_Robin.md	07	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0564	An agentic framework for autonomous scientific discovery in cancer pathology	Notes/07_Medical_and_Health_Sciences/Trost_2026_SPARK_Cancer_Pathology.md	07	07;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0510	A conversational multi-agent AI system for automated plant phenotyping	Notes/08_Agricultural_Food_Forestry_Animal_and_Fishery_Sciences/Chen_2026_PhenoAssistant.md	08	06;08	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
