paper_id	title	first_hand_sources_checked	local_pdf_found	recommended_pdf_url_or_status	agent_inclusion	concrete_scientific_objects	concrete_object_evidence	suggested_modules	suggested_01_04_bucket	primary_module_for_filing	boundary_type	confidence	note_revision_required	source_limited	safety_or_access_note	short_reason
ASD-0775	Owl-AuraID 1.0: An Intelligent System for Autonomous Scientific Instrumentation and Scientific Data Analysis	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2603.29828	yes	heterogeneous scientific instruments; characterization workflows; multimodal spectral/imaging/crystallographic analysis	Abstract and local PDF state GUI-native embodied agent operates instrument software, links Type-1 GUI skills and Type-2 analysis skills, and demonstrates ten categories of precision instruments including FTIR/NMR/AFM/TGA workflows	09	none	09	instrumentation_vs_general_method	high	no	no	none	Object is concrete scientific instrumentation and characterization workflow, not a domain-general research-agent substrate
ASD-0652	ResearchTown: Simulator of Human Research Community	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2412.17767	yes	research communities; paper reading; paper writing; review writing; interdisciplinary idea generation	Local PDF and abstract describe an agent-data graph that simulates researchers and papers, with research activities modeled as message passing and evaluated on ResearchBench for paper/review writing realism	11.07	none	11	metascience_object_vs_general_method	high	no	no	none	Object is scientific knowledge production and research-community behavior itself
ASD-0655	TreeReview: A Dynamic Tree of Questions Framework for Deep and Efficient LLM-based Scientific Peer Review	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2506.07642	yes	scientific peer review; review-question decomposition; actionable review feedback	Local PDF and abstract describe peer review as a hierarchical bidirectional QA tree with recursive question decomposition, dynamic follow-up questions, and evaluation on ICLR/NeurIPS review-generation tasks	11.07	none	11	peer_review_object_vs_general_method	high	no	no	none	The task, benchmark, and evaluation are all about scientific peer review itself
ASD-0701	Automating Computational Reproducibility in Social Science: Comparing Prompt-Based and Agent-Based Approaches	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2602.08561	yes	social-science computational reproducibility; post-publication repair; verification of published analyses	Local PDF and abstract describe 130 injected-failure test cases from five reproducible R-based social-science studies, with agents inspecting files, editing code, rerunning analyses, and being judged by output match to ground truth	11.07	none	11	reproducibility_object_vs_general_method	high	no	no	none	Object is computational reproducibility in social-science research, not a general coding-agent benchmark
ASD-0766	ReviewGrounder: Improving Review Substantiveness with Rubric-Guided, Tool-Integrated Agents	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2604.14261	yes	scientific peer review; rubric-grounded review drafting; evidence-grounding of reviews	Local PDF and abstract describe REVIEWBENCH plus a multi-agent reviewing framework that splits drafting and grounding stages to improve substantive review quality across rubric dimensions	11.07	none	11	peer_review_object_vs_general_method	high	no	no	none	Paper directly targets scientific peer-review workflow and review quality assessment
ASD-0768	When Reviews Disagree: Fine-Grained Contradiction Analysis in Scientific Peer Reviews	arXiv abstract page checked	no	arXiv PDF visible at https://arxiv.org/pdf/2605.10171 but no local archived/readable PDF confirmed in this pass	yes	scientific peer-review disagreement; contradiction evidence spans; graded disagreement intensity	Abstract states the task is contradiction analysis over full peer reviews, introduces RevCI benchmark, and uses IMPACT multi-agent framework for evidence extraction, deliberation, and adjudication	11.07	none	11	peer_review_object_vs_general_method	medium_high	no	yes	no local PDF/full-text confirmed in this pass; classification based on first-hand abstract page only	Object is still scientific peer-review disagreement analysis, but evidence strength is abstract-level this pass
ASD-0035	SciAgents: automating scientific discovery through bioinspired multi-agent intelligent graph reasoning	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2409.05556	yes	biologically inspired materials; material design principles; material properties; materials hypothesis generation	Local PDF and abstract state SciAgents is applied to biologically inspired materials and yields material discoveries, hypothesis refinement, design principles, and material-property insights	04	none	04	materials_vs_life_science_inspiration	high	no	no	none	Biological motifs function as inspiration within materials discovery rather than as independent life-science experimental objects
ASD-0525	TeLLAgent: a dual-agent framework for reliable scientific discovery with tool-enhanced LLMs	local archived PDF sampled (p1-2)	yes	local archived PDF present; DOI route https://doi.org/10.1039/d5sc09883a	yes	organic solar-cell molecules/materials; molecular design; property prediction; synthesis and device validation	Local PDF states TeLLAgent executes end-to-end organic solar-cell discovery from molecular design and property prediction to identifying a high-performance acceptor that was synthesized and validated at 16.44% PCE	03;04	none	04	multi_module_chemistry_materials_vs_general_method	high	no	no	none	Despite framework framing, the paper contains concrete chemistry/materials discovery with synthesis and validation, so it should not stay in 01.04
ASD-0680	Agentic Fusion of Large Atomic and Language Models to Accelerate Superconductor Discovery	local archived PDF sampled (p1-2) + arXiv abstract page	yes	local archived PDF present; arXiv PDF route https://arxiv.org/pdf/2604.23758	yes	superconducting materials/compounds; candidate screening; experimental synthesis and verification	Local PDF and abstract state ElementsClaw screens 2.4 million crystals, identifies 68,000 candidates, rediscovers known superconductors, and experimentally synthesizes and verifies four novel superconductors	04	none	04	materials_vs_physics_theory	high	no	no	none	Object is concrete superconductor materials discovery with experimental verification, not general physical-law reasoning
ASD-0681	Agentic LLM Reasoning in a Self-Driving Laboratory for Air-Sensitive Lithium Halide Spinel Conductors	arXiv abstract page checked	no	arXiv PDF visible at https://arxiv.org/pdf/2604.11957 but no local archived/readable PDF confirmed in this pass	yes	lithium halide spinel solid-state ionic conductors; air-sensitive inorganic materials; autonomous composition-space exploration	Abstract states A-Lab GPSS plus agentic abductive/inductive reasoning explores 352 samples across the conductor composition space, realizes 72% of metal-pair combinations, and improves the yield of high-conductivity high-purity compositions	04	none	04	self_driving_lab_materials_vs_infrastructure	medium_high	no	yes	no local PDF/full-text confirmed in this pass; classification based on first-hand abstract page only	Platform is important, but the validated scientific object is air-sensitive solid-state conductor discovery
