paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0857	yes	02;03;04;06;09	none	02	stale_pending_status_metadata	high	no	ok	yes	no	Current multi-module and archived-PDF footing are stable, but the note header still reads like a pending to_read record.
ASD-0869	yes	02;03;04;06	none	02	stale_pending_status_metadata	high	no	ok	yes	no	Current multi-module and non-01.04 wording are stable, but the note header still carries stale to_read status prose.
ASD-0870	yes	02;03;04;06	none	02	stale_pending_status_metadata	high	no	ok	yes	no	Body is aligned to the current multi-module anchor, but the note still presents itself as pending-review in top metadata.
ASD-0871	yes	02;03;04;06;07	none	02	stale_pending_status_metadata	high	no	ok	yes	no	Current multi-module and non-01.04 adjudication are already stated, but the note header still uses stale to_read wording.
ASD-0003	yes	03;04	none	03	stale_single_module_body_conflict	high	no	ok	yes	no	Revision block says 03;04, but core Section 2 and boundary prose still land on 03 only and under-absorb current materials coverage.
ASD-0112	yes	03	none	03	note_aligned_source_limited	high	yes	ok	no	no	Current note truthfully preserves 03 only, source_limited=yes, and no-local-PDF truth without reviving old 07 pressure.
ASD-0117	yes	03;04	none	03	note_aligned_low_risk	high	no	ok	no	no	Note already matches relaxed 03;04, keeps 03 primary, and uses current full-text / archived-PDF wording.
ASD-0603	yes	03	none	03	stale_pending_status_source_limited	high	yes	ok	yes	no	Source-limited and no-local-PDF wording are already truthful, but the note still presents itself as a pending to_read record instead of a settled source-limited landed note.
ASD-0740	yes	03;04	none	03	stale_pdf_status_and_pending_status	high	no	ok	yes	no	Classification block is correct, but the note still says no local archived PDF was confirmed and still reads as to_read.
ASD-0818	yes	03;07	none	03	note_aligned_low_risk	high	no	ok	no	no	Note already reflects the current 03;07 landing, keeps 03 primary, and uses current local-PDF/full-text wording.
ASD-0819	yes	03;07	none	03	note_aligned_low_risk	high	no	ok	no	no	Body and source-state wording already land the authoritative 03;07 anchor with local arXiv PDF; only minor legacy flags remain.
ASD-0821	yes	03;07	none	03	note_aligned_low_risk	high	no	ok	no	no	Note already explicitly closes old single-03 drift and cleanly matches the current 03;07 anchor.
ASD-0116	yes	04;09	none	04	note_aligned_low_risk	high	no	ok	no	no	Note wording is already aligned with full-text-backed 04;09 multi-module landing.
ASD-0385	yes	03;04	none	04	note_aligned_low_risk	high	no	ok	no	no	Module and body wording already match the current 03;04 anchor; stale current-status prose is too minor to force writeback this round.
ASD-0466	yes	04	none	04	stale_pdf_status_source_limited	high	yes	ok	yes	no	Body correctly preserves conservative 04-only source-limited hold, but header-level PDF/source-state wording lags current repo reality because a local supplementary PDF is archived.
ASD-0520	yes	03;04	none	04	stale_pdf_status_only	high	no	ok	yes	no	Repo now contains the archived PDF, so the note header/source-state wording is stale even though module wording is current.
ASD-0522	yes	04;09	none	04	note_aligned_low_risk	high	no	ok	no	no	Note remains fully consistent with local-PDF/full-text-backed 04;09 anchor.
ASD-0539	yes	03;04	none	04	stale_pdf_status_only	high	no	ok	yes	no	Repo now contains the archived PDF, so note header/source-state wording is stale while classification wording is already fine.
ASD-0547	yes	04	none	04	note_aligned_source_limited	high	yes	ok	no	no	Note truthfully states no local PDF, keeps 04 only, and does not overclaim 09 or full-text access.
ASD-0569	yes	04	none	04	note_aligned_source_limited	high	yes	ok	no	no	Note truthfully preserves source-limited 04-only landing and does not claim local PDF/full-text retrieval.
ASD-0739	yes	03;04	none	04	note_aligned_low_risk	high	no	ok	no	no	Note already states dual-module 03;04 clearly, keeps 04 as filing-only, and does not drift back to 01.04 or single-module wording.
ASD-0811	yes	03;04	none	04	stale_single_module_body_conflict	high	no	ok	yes	no	Inserted adjudication block is correct, but core body still says final keep 04/04.04 and even says second review needed.
ASD-0651	yes	05;11	none	05	stale_legacy_11_02_label	high	no	ok	yes	no	Note is materially aligned on multi-object social-climate coverage, but it still encodes the anchor as 05;11.02 rather than the current 05;11 pair.
ASD-0722	yes	05;10	none	05	note_aligned_low_risk	high	no	ok	no	no	Note already states authoritative 05;10, explains why file location under 10 is only filing convenience, and shows no source-state drift.
ASD-0727	yes	05	none	05	note_aligned_source_limited	high	yes	ok	no	no	Source-limited wording is truthful, PDF absence is stated clearly, and the note resists stale fallback to 01.04.
ASD-0803	yes	05;11	none	05	note_aligned_low_risk	high	no	ok	no	no	Note already retires old single-module inertia and explicitly lands as 05;11 with 05 kept only as filing primary.
ASD-0859	yes	05	none	05	note_aligned_source_limited	high	yes	ok	no	no	Single-module 05 wording matches the slice, and the note stays honest that only ScienceDirect page-level evidence is currently available.
ASD-0860	yes	05	none	05	note_aligned_source_limited	high	yes	ok	no	no	Single-module 05 wording and source-limited status match the current authoritative state.
ASD-0861	yes	05	none	05	note_aligned_source_limited	high	yes	ok	no	no	Single-module 05 wording matches the slice, and source-limited / no-local-PDF language is still truthful.
ASD-0141	yes	06;07	none	06	stale_old_source_state_conflict	high	no	ok	yes	no	Top-level closeout says local PDF checked and source_limited=no, but later sections/footer still preserve old Cloudflare-blocked, no-local-PDF, source-limited wording.
