paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0541	PromptBio: A Multi-Agent AI Platform for Bioinformatics Data Analysis	Notes/06_Life_Sciences/Zhang_2025_PromptBio_Bioinformatics.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated_source_limited	yes	yes	standard	bucket_0104_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	75
ASD-0572	Autonomous discovery of functional random heteropolymer blends through evolutionary formulation optimization	Notes/04_Materials_Science/Wu_2025_Random_Heteropolymer_Blends.md	04	04;06	multi_module	none	updated_source_limited	yes	no	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0553	ToolsGenie 2.0: A Scalable and Extensible Multi-Agent System for Bioinformatics Automation	Notes/01_Formal_Information_and_Computational_Sciences/Ma_2026_ToolsGenie_2_Bioinformatics_Automation.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	yes	yes	standard	bucket_0104_note_wording_check;source_limited_wording_confirmation	55
ASD-0005	A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand	Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md	03	03;04	multi_module	none	updated	yes	no	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0006	DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation	Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	core	bucket_0104_note_wording_check	50
ASD-0040	Researchagent: Iterative research idea generation over scientific literature with large language models, 2025	Notes/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	core	bucket_0104_note_wording_check	50
ASD-0004	InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification	Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md	01	01;03;06;09;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0053	Towards autonomous hypothesis verification via language models with minimal guidance	Notes/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0059	Iterative hypothesis generation for scientific discovery with monte carlo nash equilibrium self-refining trees, 2025	Notes/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0062	Empowering scientific workflows with federated agents	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	01	01;02;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
