paper_id	title	evidence_agent	note_path	current_authoritative_anchor	main_wording_risk	needs_note_revision	safe_for_note_only_landing	must_escalate_to_controller	short_reason	suggested_refresh_sections
ASD-0857	Machine Collective Intelligence for Explainable Scientific Discovery	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Na_2026_Machine_Collective_Intelligence.md							
ASD-0869	STRIDE: A Self-Reflective Agent Framework for Reliable Automatic Equation Discovery	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Su_2026_STRIDE_Equation_Discovery.md							
ASD-0870	SR-Scientist: Scientific Equation Discovery With Agentic AI	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Xia_2025_SR_Scientist.md							
ASD-0871	The Denario project: Deep knowledge AI agents for scientific discovery	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_Denario.md							
ASD-0003	CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning	Evidence-Agent-A	Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md							
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	Evidence-Agent-A	Notes/07_Medical_and_Health_Sciences/Che_2025_CSSTep.md							
ASD-0117	OSDA agent: Leveraging large language models for de novo design of organic structure directing agents	Evidence-Agent-A	Notes/03_Chemical_Sciences/Hu_2025_OSDA_Agent.md							
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	Evidence-Agent-A	Notes/03_Chemical_Sciences/Bedard_2018_Reconfigurable_Reaction_Optimization.md							
ASD-0740	Discovery of tunable and soluble organic emitters for solid-state lasers with a self-driving laboratory	Evidence-Agent-A	Notes/03_Chemical_Sciences/Park_2026_Organic_Emitters_SelfDriving_Lab.md							
ASD-0818	MolMem: Memory-Augmented Agentic Reinforcement Learning for Sample-Efficient Molecular Optimization	Evidence-Agent-A	Notes/03_Chemical_Sciences/Wang_2026_MolMem.md							
ASD-0819	SEISMO: Increasing Sample Efficiency in Molecular Optimization with a Trajectory-Aware LLM Agent	Evidence-Agent-B	Notes/03_Chemical_Sciences/Kruger_2026_SEISMO.md							
ASD-0821	Agentic reinforcement learning empowers next-generation chemical language models for molecular design and synthesis	Evidence-Agent-B	Notes/03_Chemical_Sciences/Li_2026_ChemCraft.md							
ASD-0116	Electromagnetic metamaterial agent	Evidence-Agent-B	Notes/04_Materials_Science/Hu_2025_Electromagnetic_Metamaterial_Agent.md							
ASD-0385	AlphaFlow: autonomous discovery and optimization of multi-step chemistry using a self-driven fluidic lab guided by reinforcement learning	Evidence-Agent-B	Notes/04_Materials_Science/Volk_2023_AlphaFlow_Nanoparticle_Growth.md							
ASD-0466	Discovery of Wall-Selective Carbon Nanotube Growth Conditions <i>via</i> Automated Experimentation	Evidence-Agent-B	Notes/04_Materials_Science/Nikolaev_2014_CNT_Wall_Selectivity.md							
ASD-0520	Bayesian learning-assisted catalyst discovery for efficient iridium utilization in electrochemical water splitting	Evidence-Agent-B	Notes/04_Materials_Science/Niu_2025_Bayesian_Catalyst_Discovery_Iridium.md							
ASD-0522	Evaluating large language model agents for automation of atomic force microscopy	Evidence-Agent-B	Notes/04_Materials_Science/Mandal_2024_AILA_Autonomous_Microscopy.md							
ASD-0539	Accelerating materials discovery via AI-Agent integration of large language models and simulation tools	Evidence-Agent-B	Notes/04_Materials_Science/Wang_2026_AI_Agent_Materials_Discovery.md							
ASD-0547	Closed-loop experimental AI for pixelated metasurface design	Evidence-Agent-B	Notes/04_Materials_Science/Lee_2026_Closed_Loop_Pixelated_Metasurface_Design.md							
ASD-0569	Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors	Evidence-Agent-B	Notes/04_Materials_Science/Bateni_2022_Autonomous_Nanocrystal_Doping.md							
ASD-0739	Autonomous microfluidic experimentation for exploring reaction inference and synthesizing double perovskite nanoplatelets	Evidence-Agent-C	Notes/04_Materials_Science/Sharma_2026_Double_Perovskite_Nanoplatelets.md							
