paper_id	note_path	final_modules_or_bucket	object_coverage_mode	primary_module_for_filing	general_method_bucket	source_limited	writeback_sections	landing_reason
ASD-0857	Notes/01_Formal_Information_and_Computational_Sciences/Na_2026_Machine_Collective_Intelligence.md	02;03;04;06;09	multi_module	02	none	no	文献信息	stable multi-module anchor and archived-PDF wording are already right, but top metadata still reads like a pending to_read record
ASD-0869	Notes/01_Formal_Information_and_Computational_Sciences/Su_2026_STRIDE_Equation_Discovery.md	02;03;04;06	multi_module	02	none	no	文献信息	core 02;03;04;06 wording is aligned, but the note header still carries stale to_read status prose
ASD-0870	Notes/01_Formal_Information_and_Computational_Sciences/Xia_2025_SR_Scientist.md	02;03;04;06	multi_module	02	none	no	文献信息	body is harmonized to the current anchor, but the top metadata still presents the note as pending-review
ASD-0871	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_Denario.md	02;03;04;06;07	multi_module	02	none	no	文献信息	current multi-module / non-01.04 adjudication is already stated, but the note header still uses stale to_read wording
ASD-0003	Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md	03;04	multi_module	03	none	no	Evidence Log;2.1-2.3;8;9.3	revision block says 03;04, but core body and boundary prose still land on 03 only and under-absorb materials coverage
ASD-0603	Notes/03_Chemical_Sciences/Bedard_2018_Reconfigurable_Reaction_Optimization.md	03	single_module	03	none	yes	文献信息	source-limited / no-local-PDF wording is already truthful, but the note still presents itself as a pending to_read record
ASD-0740	Notes/03_Chemical_Sciences/Park_2026_Organic_Emitters_SelfDriving_Lab.md	03;04	multi_module	03	none	no	文献信息;9.3	classification is right, but the note still says no local archived PDF was confirmed and still reads as to_read
ASD-0466	Notes/04_Materials_Science/Nikolaev_2014_CNT_Wall_Selectivity.md	04	single_module	04	none	yes	paper_info_pdf_line;source_access_summary	body correctly preserves conservative 04-only source-limited hold, but header PDF/source-state wording lags current repo reality because a local supplementary PDF is archived
ASD-0520	Notes/04_Materials_Science/Niu_2025_Bayesian_Catalyst_Discovery_Iridium.md	03;04	multi_module	04	none	no	paper_info_pdf_line;source_access_summary	repo now contains the archived PDF, so the note header/source-state wording is stale even though module wording is current
ASD-0539	Notes/04_Materials_Science/Wang_2026_AI_Agent_Materials_Discovery.md	03;04	multi_module	04	none	no	paper_info_pdf_line;source_access_summary	repo now contains the archived PDF, so note header/source-state wording is stale while classification wording is already fine
ASD-0811	Notes/04_Materials_Science/Unknown_2026_CLIO.md	03;04	multi_module	04	none	no	2.1-2.4;boundary section;summary/footer	inserted adjudication block is correct, but core body still says final keep 04/04.04 and second review needed
ASD-0651	Notes/05_Earth_and_Environmental_Sciences/Wang_2025_Heatwave_Discovery_Agent.md	05;11	multi_module	05	none	no	round update block;2.1-2.3;summary/footer	note is materially aligned on multi-object social-climate coverage, but it still uses 05;11.02 instead of current 05;11
ASD-0141	Notes/06_Life_Sciences/Zhang_2025_TransAgent_Transcriptional_Regulation.md	06;07	multi_module	06	none	no	evidence log;2026-06-20 update block;2.1-2.3;limitations;summary	top-level closeout says local PDF checked and source_limited=no, but later sections still preserve old no-local-PDF/source-limited wording
