paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0659	yes	04;06;07;11	none	04	note_aligned_low_risk	high	no	ok	no	no	Current note already matches the landed multi-module state and explicitly treats the historical 01-side note path as filing convenience only.
ASD-0673	yes	03;04;07	none	04	stale_pdf_status_only	high	no	ok	yes	no	Classification is aligned, but the note still uses pre-archive wording and understates the current archived-full-text footing.
ASD-0790	yes	03;04	none	04	stale_pdf_status_only	high	no	ok	yes	no	Current 03;04 landing is stable, but the note still says no project-local archived PDF.
ASD-0792	yes	03;04	none	04	stale_pdf_status_only	high	no	ok	yes	no	Current 03;04 landing is stable, but the note still uses pre-archive source wording.
ASD-0650	yes	05;08;11	none	05	stale_pdf_and_module_label_wording	high	no	ok	yes	no	Current multi-module state is stable, but the note still uses stale non-archived wording and legacy `11.02`-style labeling.
ASD-0064	yes	06;07	none	06	stale_pdf_status_only	high	no	ok	yes	no	Current 06;07 landing is stable, but metadata/body still imply the PDF was not project-archived.
ASD-0085	yes	04;06	none	06	stale_single_module_body_conflict	high	no	ok	yes	no	Override block lands 04;06, but downstream body text still argues pure 06 with 04 treated as merely possible.
ASD-0097	yes	06	none	06	note_aligned_low_risk	high	yes	ok	no	no	Current note already preserves the frozen 06-only landed state and explicit source-limited/no-local-PDF truth.
ASD-0137	yes	06;07	none	06	stale_old_access_block	high	no	ok	yes	no	Current July 5 sync is right, but older June 22 wording still says PDF unavailable/HTML-only and preserves retired archival-source-limited pressure.
ASD-0663	yes	01;06;07	none	06	stale_pdf_and_path_wording	high	no	ok	yes	no	Classification is aligned, but the note still says no local archived PDF and can tighten historical 01-side filing-path wording.
ASD-0669	yes	06;07	none	06	stale_pdf_status_only	high	no	ok	yes	no	Module landing is correct, but evidence-source/PDF wording still reads like an abstract/reviewer-pack stage rather than archived full text.
ASD-0714	yes	06;07	none	06	stale_pdf_status_only	high	no	ok	yes	no	Classification is aligned, but metadata still says local PDF not confirmed.
ASD-0008	yes	07;03	none	07	stale_single_module_body_conflict	high	no	ok	yes	no	Top relaxed block is correct, but downstream note body still reads as single-07/drug-discovery-only in places and under-absorbs chemistry coverage.
ASD-0024	yes	07;03	none	07	note_aligned_low_risk	high	no	ok	no	no	Current note already states 07;03 consistently and does not revive 01.04 or single-module wording.
ASD-0054	yes	07;06	none	07	stale_pdf_status_only	high	no	ok	yes	no	Current 07;06 landing is correct, but metadata still says no local PDF archived.
ASD-0115	yes	06;07	none	07	note_aligned_low_risk	high	no	ok	no	no	Current note explicitly retires old 07/01.04 tension and matches the stable multi-module authority.
ASD-0118	yes	06;07	none	07	note_aligned_low_risk	high	no	ok	no	no	Current note cleanly lands 06;07 and keeps platform language subordinate to object evidence.
ASD-0540	yes	06;07	none	07	stale_revision_status_wording	high	no	ok	yes	no	Authoritative row is already landed as 06;07, but residual text still says master-list/01.04 review is pending.
ASD-0564	yes	07;06	none	07	stale_old_source_and_module_conflict	high	no	ok	yes	no	Authority is stable, but old abstract-only and 07.01-only layers still coexist with newer 07;06 full-text adjudication.
ASD-0510	yes	06;08	none	08	stale_pdf_and_evidence_state_wording	high	no	ok	yes	no	Multi-module landing is right, but note still reads article-page-only/no-local-PDF/high-metadata-only.
ASD-0511	yes	04;09	none	09	note_aligned_low_risk	high	no	ok	no	no	Current note wording consistently reflects instrument-operation primary with materials-scene secondary coverage.
ASD-0691	yes	05;10	none	10	note_aligned_low_risk	high	no	ok	no	no	Current note already states rover mission-science primary while preserving planetary/earth-science object coverage.
ASD-0693	yes	05;10	none	10	residual_single_primary_drift	high	no	ok	yes	no	Evidence Log lands 05;10, but mid-note classification prose still leans too heavily on 10.02-only framing.
ASD-0696	yes	05;10	none	10	note_aligned_low_risk	high	no	ok	no	no	Post-followup note is already aligned with the current full-text-backed 05;10 adjudication.
ASD-0697	yes	05;10	none	10	note_aligned_low_risk	high	no	ok	no	no	Current note cleanly carries the relaxed multi-module reading and note-location disclaimer.
ASD-0703	yes	05;10	none	10	note_aligned_low_risk	high	no	ok	no	no	Current note is materially aligned, with 10 clearly filing-primary and 05 retained as Earth-science object coverage.
ASD-0710	yes	05;10	none	10	note_aligned_low_risk	high	no	ok	no	no	Current note already uses the authoritative 05;10 framing and explicitly says folder location is not classification authority.
ASD-0844	yes	01;06	none	01	stale_revision_status_wording	high	no	ok	yes	no	Substance is aligned, but the live note still says the old note needs revision, which is now outdated status drift.
ASD-0845	yes	01;02;11	none	01	stale_revision_status_wording	high	no	ok	yes	no	Current classification is landed, but the note still carries live-status prose saying revision is pending.
ASD-0850	yes	01;10	none	01	stale_revision_status_wording	high	no	ok	yes	no	Main content matches current authority, but the note still frames revision as pending instead of already absorbed.
