paper_id	title	evidence_agent	note_path	current_authoritative_anchor	main_wording_risk	needs_note_revision	safe_for_note_only_landing	must_escalate_to_controller	short_reason	suggested_refresh_sections
ASD-0659	Autonomous Agents Coordinating Distributed Discovery Through Emergent Artifact Exchange	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Wang_2026_Artifact_Exchange.md							
ASD-0673	Harnessing AtomisticSkills for Agentic Atomistic Research	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Deng_2026_AtomisticSkills.md							
ASD-0790	Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Heterogeneous Catalyst Discovery	Evidence-Agent-A	Notes/04_Materials_Science/Rothfarb_2026_Heterogeneous_Catalyst_Discovery.md							
ASD-0792	Autonomous heterogeneous catalyst discovery with a self-evolving multi-agent digital twin	Evidence-Agent-A	Notes/04_Materials_Science/Song_2026_CatDT_Heterogeneous_Catalyst_Discovery.md							
ASD-0650	OpenEarth-Agent: From Tool Calling to Tool Creation for Open-Environment Earth Observation	Evidence-Agent-A	Notes/05_Earth_and_Environmental_Sciences/Zhao_2026_OpenEarth_Agent.md							
ASD-0064	Phenograph: A multi-agent framework for phenotype-driven discovery in spatial transcriptomics data augmented with knowledge graphs	Evidence-Agent-A	Notes/06_Life_Sciences/Niyakan_2025_PhenoGraph.md							
ASD-0085	Protagents: protein discovery via large language model multi-agent collaborations combining physics and machine learning	Evidence-Agent-A	Notes/06_Life_Sciences/Ghafarollahi_2024_ProtAgents.md							
ASD-0097	Cellvoyager: Ai compbio agent generates new insights by autonomously analyzing biological data	Evidence-Agent-A	Notes/06_Life_Sciences/Alber_2026_CellVoyager.md							
ASD-0137	Accelerating primer design for amplicon sequencing using large language model-powered agents	Evidence-Agent-A	Notes/06_Life_Sciences/Wang_2025_PrimeGen_Primer_Design.md							
ASD-0663	AutoScientists: Self-Organizing Agent Teams for Long-Running Scientific Experimentation	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoScientists.md							
ASD-0669	MARBLE: Multi-Agent Reasoning for Bioinformatics Learning and Evolution	Evidence-Agent-B	Notes/06_Life_Sciences/Kim_2026_MARBLE.md							
ASD-0714	K-Dense Analyst: Towards Fully Automated Scientific Analysis	Evidence-Agent-B	Notes/06_Life_Sciences/Li_2025_K_Dense_Analyst.md							
ASD-0008	Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md							
ASD-0024	Large language model agent for modular task execution in drug discovery	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Ock_2025_AgentD.md							
ASD-0054	The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Swanson_2025_Virtual_Lab_Nanobodies.md							
ASD-0115	Towards an AI co-scientist	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Gottweis_2025_Co_Scientist.md							
ASD-0118	Biomni: A general-purpose biomedical AI agent	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Huang_2025_Biomni.md							
ASD-0540	A multi-agent system for automating scientific discovery	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Ghareeb_2025_Robin.md							
ASD-0564	An agentic framework for autonomous scientific discovery in cancer pathology	Evidence-Agent-B	Notes/07_Medical_and_Health_Sciences/Trost_2026_SPARK_Cancer_Pathology.md							
ASD-0510	A conversational multi-agent AI system for automated plant phenotyping	Evidence-Agent-B	Notes/08_Agricultural_Food_Forestry_Animal_and_Fishery_Sciences/Chen_2026_PhenoAssistant.md							
ASD-0511	Operating advanced scientific instruments with AI agents that learn on the job	Evidence-Agent-C	Notes/09_Engineering_and_Industrial_Technology_Sciences/Vriza_2026_AI_Agents_Scientific_Instruments.md							
ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Castano_2007_OASIS_Rover_Science.md							
ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md							
ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2012_AEGIS_Opportunity_Rover.md							
ASD-0697	AEGIS autonomous targeting for ChemCam on Mars Science Laboratory: Deployment and results of initial science team use	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Francis_2017_AEGIS_ChemCam_MSL.md							
ASD-0703	Autonomous Science Agents and Sensor Webs: EO-1 and Beyond	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Sherwood_2006_EO1_Autonomous_Science_Agents.md							
ASD-0710	AEGIS Autonomous Targeting for the SuperCam Instrument on the Mars 2020 Perseverance Rover	Evidence-Agent-C	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Francis_2024_AEGIS_SuperCam.md							
ASD-0844	Science Earth: Towards A Planet-Scale Operating System for AI-Native Scientific Discovery	Evidence-Agent-C	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Science_Earth.md							
ASD-0845	SciDER: Scientific Data-centric End-to-end Researcher	Evidence-Agent-C	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_SciDER.md							
ASD-0850	OR-Agent: Bridging Evolutionary Search and Structured Research for Automated Algorithm Discovery	Evidence-Agent-C	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_OR_Agent.md							
